"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\controller\auth\login_controller.dart", "Dart", 80, 1, 8, 89
"d:\Flutter\old_version\lib\controller\auth\register_controller.dart", "Dart", 315, 19, 22, 356
"d:\Flutter\old_version\lib\controller\buying\buying_controller.dart", "Dart", 649, 33, 50, 732
"d:\Flutter\old_version\lib\controller\buying\buying_details_view_controller.dart", "Dart", 209, 8, 16, 233
"d:\Flutter\old_version\lib\controller\buying\definition_buying_controller.dart", "Dart", 349, 24, 25, 398
"d:\Flutter\old_version\lib\controller\cashier\cashier_constant_controller.dart", "Dart", 559, 123, 13, 695
"d:\Flutter\old_version\lib\controller\cashier\cashier_controller.dart", "Dart", 1061, 56, 104, 1221
"d:\Flutter\old_version\lib\controller\cashier\cashier_definition_controller.dart", "Dart", 80, 25, 4, 109
"d:\Flutter\old_version\lib\controller\catagories\catagories_add_controller.dart", "Dart", 55, 1, 7, 63
"d:\Flutter\old_version\lib\controller\catagories\catagories_view_controller.dart", "Dart", 90, 3, 11, 104
"d:\Flutter\old_version\lib\controller\catagories\categories_edit_controller.dart", "Dart", 46, 0, 8, 54
"d:\Flutter\old_version\lib\controller\home\account_controller.dart", "Dart", 82, 0, 5, 87
"d:\Flutter\old_version\lib\controller\home\add_admin_controller.dart", "Dart", 82, 0, 5, 87
"d:\Flutter\old_version\lib\controller\home\home_controller.dart", "Dart", 117, 2, 14, 133
"d:\Flutter\old_version\lib\controller\imp_exp\edit_import_export_controller.dart", "Dart", 141, 41, 14, 196
"d:\Flutter\old_version\lib\controller\imp_exp\export_controller.dart", "Dart", 175, 4, 14, 193
"d:\Flutter\old_version\lib\controller\imp_exp\import_controller.dart", "Dart", 167, 5, 16, 188
"d:\Flutter\old_version\lib\controller\imp_exp\import_export_controller.dart", "Dart", 285, 36, 21, 342
"d:\Flutter\old_version\lib\controller\inventory\edit_import_export_controller.dart", "Dart", 145, 3, 11, 159
"d:\Flutter\old_version\lib\controller\inventory\inventory_controller.dart", "Dart", 1234, 25, 140, 1399
"d:\Flutter\old_version\lib\controller\inventory\inventory_definitions_controller.dart", "Dart", 358, 15, 23, 396
"d:\Flutter\old_version\lib\controller\items\items_add_controller.dart", "Dart", 194, 6, 19, 219
"d:\Flutter\old_version\lib\controller\items\items_definition_controller.dart", "Dart", 365, 15, 40, 420
"d:\Flutter\old_version\lib\controller\items\items_update_controller.dart", "Dart", 122, 2, 16, 140
"d:\Flutter\old_version\lib\controller\items\items_view_controller.dart", "Dart", 338, 14, 31, 383
"d:\Flutter\old_version\lib\controller\printer\invoice_controller.dart", "Dart", 1557, 132, 124, 1813
"d:\Flutter\old_version\lib\controller\printer\sunmi_printer_controller.dart", "Dart", 255, 13, 21, 289
"d:\Flutter\old_version\lib\controller\setting\back_up_controller.dart", "Dart", 222, 20, 36, 278
"d:\Flutter\old_version\lib\controller\setting\currency_controller.dart", "Dart", 15, 0, 4, 19
"d:\Flutter\old_version\lib\controller\setting\language_controller.dart", "Dart", 21, 0, 5, 26
"d:\Flutter\old_version\lib\controller\setting\security_controller.dart", "Dart", 91, 5, 12, 108
