"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\controller\add_account_controller.dart", "Dart", 439, 28, 42, 509
"d:\Flutter\old_version\lib\controller\cashier\cashier_constant_controller.dart", "Dart", 342, -98, 5, 249
"d:\Flutter\old_version\lib\controller\cashier\cashier_controller.dart", "Dart", 5, 0, 0, 5
"d:\Flutter\old_version\lib\controller\catagories\catagories_add_controller.dart", "Dart", -55, -1, -7, -63
"d:\Flutter\old_version\lib\controller\catagories\catagories_controller.dart", "Dart", 167, 10, 40, 217
"d:\Flutter\old_version\lib\controller\catagories\catagories_view_controller.dart", "Dart", -90, -3, -11, -104
"d:\Flutter\old_version\lib\controller\catagories\categories_edit_controller.dart", "Dart", -46, 0, -8, -54
"d:\Flutter\old_version\lib\controller\home\home_controller.dart", "Dart", 89, 0, -1, 88
"d:\Flutter\old_version\lib\controller\imp_exp\import_controller.dart", "Dart", -14, 16, -2, 0
"d:\Flutter\old_version\lib\controller\imp_exp\import_export_controller.dart", "Dart", 102, 6, 7, 115
"d:\Flutter\old_version\lib\controller\imp_exp\transaction_controller.dart", "Dart", 184, 42, 14, 240
"d:\Flutter\old_version\lib\controller\imp_exp\transaction_payment_controller.dart", "Dart", 120, 3, 10, 133
"d:\Flutter\old_version\lib\controller\imp_exp\transaction_receipt_controller.dart", "Dart", 119, 3, 10, 132
"d:\Flutter\old_version\lib\controller\items\items_add_controller.dart", "Dart", -12, -2, 0, -14
"d:\Flutter\old_version\lib\controller\items\items_definition_controller.dart", "Dart", 144, -1, -5, 138
"d:\Flutter\old_version\lib\controller\items\items_update_controller.dart", "Dart", -9, 0, -1, -10
"d:\Flutter\old_version\lib\controller\items\items_view_controller.dart", "Dart", 84, 0, 9, 93
"d:\Flutter\old_version\lib\controller\printer\invoice_controller.dart", "Dart", -14, 13, 0, -1
"d:\Flutter\old_version\lib\controller\reports\daily_reports\daily_reports_controller.dart", "Dart", 607, 24, 41, 672
"d:\Flutter\old_version\lib\controller\reports\reports_controller.dart", "Dart", 0, 383, 29, 412
"d:\Flutter\old_version\lib\controller\setting\setting_controller.dart", "Dart", -2, 0, 0, -2
"d:\Flutter\old_version\lib\core\class\handling_data_view.dart", "Dart", 72, 0, 7, 79
"d:\Flutter\old_version\lib\core\class\statusrequest.dart", "Dart", 1, 0, 0, 1
"d:\Flutter\old_version\lib\core\constant\imgaeasset.dart", "Dart", 11, 0, 0, 11
"d:\Flutter\old_version\lib\core\constant\routes.dart", "Dart", 8, 2, 4, 14
"d:\Flutter\old_version\lib\core\constant\screen_routes.dart", "Dart", 10, 2, 0, 12
"d:\Flutter\old_version\lib\core\dialogs\confirm_dialog.dart", "Dart", 9, 0, 1, 10
"d:\Flutter\old_version\lib\core\dialogs\delete_dialog.dart", "Dart", 1, 0, 0, 1
"d:\Flutter\old_version\lib\core\dialogs\error_dialogs.dart", "Dart", 1, 0, 0, 1
"d:\Flutter\old_version\lib\core\dialogs\show_form_dialog.dart", "Dart", 93, 0, 4, 97
"d:\Flutter\old_version\lib\core\dialogs\snackbar_helper.dart", "Dart", 54, 0, 5, 59
"d:\Flutter\old_version\lib\core\functions\date_picker.dart", "Dart", 20, 0, 3, 23
"d:\Flutter\old_version\lib\core\functions\handle_data_function.dart", "Dart", -2, 0, 0, -2
"d:\Flutter\old_version\lib\core\functions\validinput.dart", "Dart", 3, 0, 0, 3
"d:\Flutter\old_version\lib\core\localization\ar_translation.dart", "Dart", 399, 14, 11, 424
"d:\Flutter\old_version\lib\core\localization\en_translation.dart", "Dart", 423, 12, 6, 441
"d:\Flutter\old_version\lib\core\localization\text_routes.dart", "Dart", 271, 8, 7, 286
"d:\Flutter\old_version\lib\core\localization\translation.dart", "Dart", -527, 529, 0, 2
"d:\Flutter\old_version\lib\core\middleware\mymiddleware.dart", "Dart", 2, 0, 0, 2
"d:\Flutter\old_version\lib\core\responsive\responsive_builder.dart", "Dart", -13, -2, -4, -19
"d:\Flutter\old_version\lib\core\responsive\screen_builder.dart", "Dart", 23, 2, 6, 31
"d:\Flutter\old_version\lib\core\services\services.dart", "Dart", -12, 12, 0, 0
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_laptop_details.dart", "Dart", -211, -1, -7, -219
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search.dart", "Dart", -103, -2, -6, -111
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search_items.dart", "Dart", -182, -1, -8, -191
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search_users.dart", "Dart", -171, -1, -7, -179
"d:\Flutter\old_version\lib\core\shared\custom_formfield_global.dart", "Dart", -1, 0, 0, -1
"d:\Flutter\old_version\lib\core\shared\custom_header_screen.dart", "Dart", 2, 0, 5, 7
"d:\Flutter\old_version\lib\core\shared\custom_sized_box.dart", "Dart", 5, 0, 1, 6
"d:\Flutter\old_version\lib\core\shared\custom_text_field_widget.dart", "Dart", 97, 1, 4, 102
"d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search.dart", "Dart", 108, 1, 6, 115
"d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search_items.dart", "Dart", 182, 1, 8, 191
"d:\Flutter\old_version\lib\core\shared\drop_downs\custom_drop_down_search_users.dart", "Dart", 165, 1, 8, 174
"d:\Flutter\old_version\lib\core\shared\drop_downs\drop_down_menu.dart", "Dart", 59, 0, 5, 64
"d:\Flutter\old_version\lib\core\shared\drop_downs\drop_down_units.dart", "Dart", 106, 1, 6, 113
"d:\Flutter\old_version\lib\core\shared\drop_downs\sort_drop_down.dart", "Dart", 64, 0, 4, 68
"d:\Flutter\old_version\lib\data\model\account_model.dart", "Dart", 47, 0, 3, 50
"d:\Flutter\old_version\lib\data\model\cart_model.dart", "Dart", -34, 1, 0, -33
"d:\Flutter\old_version\lib\data\model\categories_model.dart", "Dart", 6, 0, -2, 4
"d:\Flutter\old_version\lib\data\model\item_details_model.dart", "Dart", 36, 0, 4, 40
"d:\Flutter\old_version\lib\data\model\items_model.dart", "Dart", -150, -7, -4, -161
"d:\Flutter\old_version\lib\data\model\locale\account_menu_model.dart", "Dart", 12, 0, 1, 13
"d:\Flutter\old_version\lib\data\model\locale\custom_units_list.dart", "Dart", 2, 0, 0, 2
"d:\Flutter\old_version\lib\data\model\locale\unit_types.dart", "Dart", 5, 0, 1, 6
"d:\Flutter\old_version\lib\data\model\reports\account_statement_model.dart", "Dart", 44, 0, 4, 48
"d:\Flutter\old_version\lib\data\model\reports\box_transaction_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\reports\customer_ledger_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\reports\general_ledger_model.dart", "Dart", 64, 0, 4, 68
"d:\Flutter\old_version\lib\data\model\reports\retained_earnings_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\reports\supplier_ledger_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\reports\trial_balance_model.dart", "Dart", 32, 0, 4, 36
"d:\Flutter\old_version\lib\data\model\reports\withdraw_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\supplier_model.dart", "Dart", 48, 0, 4, 52
"d:\Flutter\old_version\lib\data\model\transaction_model.dart", "Dart", 62, 0, 6, 68
"d:\Flutter\old_version\lib\data\model\units_model.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\data\model\users_model.dart", "Dart", 0, 0, 1, 1
"d:\Flutter\old_version\lib\data\source\account_class.dart", "Dart", 112, 0, 18, 130
"d:\Flutter\old_version\lib\data\source\cashier_class.dart", "Dart", -15, -1, 0, -16
"d:\Flutter\old_version\lib\data\source\items_class.dart", "Dart", 31, -4, 0, 27
"d:\Flutter\old_version\lib\data\source\reports_data.dart", "Dart", 440, 52, 55, 547
"d:\Flutter\old_version\lib\data\source\transaction_class.dart", "Dart", 143, 2, 20, 165
"d:\Flutter\old_version\lib\main.dart", "Dart", 17, 0, 1, 18
"d:\Flutter\old_version\lib\view\add_account\add_account_screen.dart", "Dart", 19, 0, 3, 22
"d:\Flutter\old_version\lib\view\add_account\components\account_tree_menu.dart", "Dart", 61, 0, 4, 65
"d:\Flutter\old_version\lib\view\add_account\components\add_users_account_dialog.dart", "Dart", 82, 0, 3, 85
"d:\Flutter\old_version\lib\view\add_account\components\show_add_account_dialog.dart", "Dart", 86, 1, 3, 90
"d:\Flutter\old_version\lib\view\add_account\mobile\add_account_screen_mobile.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\view\add_account\windows\add_account_screen_windows.dart", "Dart", 239, 6, 10, 255
"d:\Flutter\old_version\lib\view\buying\components\buying_table_view.dart", "Dart", -1, 0, 0, -1
"d:\Flutter\old_version\lib\view\buying\mobile\buying_screen_mobile.dart", "Dart", -1, 0, 0, -1
"d:\Flutter\old_version\lib\view\buying\windows\buying_screen_windows.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\view\buying\windows\view_details\view_buying_details_screen.dart", "Dart", -5, 0, 0, -5
"d:\Flutter\old_version\lib\view\cashier\cashier_screen.dart", "Dart", -13, -2, 1, -14
"d:\Flutter\old_version\lib\view\cashier\components\drop_down_search_users_cashier.dart", "Dart", 170, 1, 7, 178
"d:\Flutter\old_version\lib\view\cashier\mobile\components\bottom_cashier_buttons.dart", "Dart", -189, 2, 2, -185
"d:\Flutter\old_version\lib\view\cashier\mobile\components\custom_payment_dialog_mobile.dart", "Dart", 0, -2, -1, -3
"d:\Flutter\old_version\lib\view\cashier\mobile\components\footer_details_widget.dart", "Dart", 3, 0, 0, 3
"d:\Flutter\old_version\lib\view\cashier\mobile\components\pending_carts_mobile.dart", "Dart", 3, 0, 3, 6
"d:\Flutter\old_version\lib\view\cashier\mobile\components\search_widget_mobile.dart", "Dart", 6, -1, 0, 5
