Date : 2025-07-29 23:34:10
Directory : d:\Flutter\old_version\lib
Total : 325 files,  39759 codes, 2131 comments, 2407 blanks, all 44297 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        325 |     39,759 |      2,131 |      2,407 |     44,297 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        325 |     39,759 |      2,131 |      2,407 |     44,297 |
| . (Files)                                                                                                |          1 |         75 |          0 |          7 |         82 |
| controller                                                                                               |         35 |     11,840 |        701 |        991 |     13,532 |
| controller (Files)                                                                                       |          1 |        439 |         28 |         42 |        509 |
| controller\auth                                                                                          |          2 |        395 |         20 |         30 |        445 |
| controller\buying                                                                                        |          3 |      1,207 |         65 |         91 |      1,363 |
| controller\cashier                                                                                       |          3 |      2,047 |        106 |        126 |      2,279 |
| controller\catagories                                                                                    |          1 |        167 |         10 |         40 |        217 |
| controller\home                                                                                          |          3 |        370 |          2 |         23 |        395 |
| controller\imp_exp                                                                                       |          7 |      1,279 |        156 |        104 |      1,539 |
| controller\inventory                                                                                     |          3 |      1,737 |         43 |        174 |      1,954 |
| controller\items                                                                                         |          4 |      1,226 |         34 |        109 |      1,369 |
| controller\printer                                                                                       |          2 |      1,798 |        158 |        145 |      2,101 |
| controller\reports                                                                                       |          1 |        615 |         50 |         38 |        703 |
| controller\reports\daily_reports                                                                         |          1 |        615 |         50 |         38 |        703 |
| controller\setting                                                                                       |          5 |        560 |         29 |         69 |        658 |
| core                                                                                                     |         60 |      4,097 |        692 |        268 |      5,057 |
| core\class                                                                                               |          3 |        146 |          7 |         14 |        167 |
| core\constant                                                                                            |          6 |        314 |         34 |         33 |        381 |
| core\dialogs                                                                                             |          7 |        490 |          3 |         30 |        523 |
| core\functions                                                                                           |         14 |        317 |          6 |         48 |        371 |
| core\localization                                                                                        |          5 |      1,419 |        590 |         37 |      2,046 |
